customer_id,age,income_inr,credit_score,loan_amount_inr,tenure_months,interest_rate,existing_emis,dependents,experience_years,city,job_type,education_level,marital_status,loan_purpose,has_credit_card,has_vehicle,default
102308,30,10526.2,395.0,207835.51,60,14.21,3,4,30,Mumbai,Freelancer,Diploma,Divorced,Car,Yes,No,1
122404,42,31730.09,809.0,262774.28,36,12.72,1,3,10,Bangalore,Business,Masters,Single,Education,Yes,Yes,0
123397,33,71721.57,719.0,104643.47,6,26.53,1,1,18,Kolkata,Unemployed,Diploma,Single,Personal,No,Yes,1
125058,47,83948.82,839.0,126327.11,18,24.13,1,0,9,Chennai,Student,PhD,Single,Personal,No,No,1
102664,57,36495.26,820.0,5000.0,12,17.69,1,2,6,Bangalore,Unemployed,Diploma,Divorced,Home,No,No,0
108511,59,16594.59,760.0,259121.34,18,16.46,1,0,23,Jaipur,Freelancer,HighSchool,Divorced,Home,No,No,1
105148,63,49692.43,534.0,187170.78,24,7.42,3,5,13,Bangalore,Student,PhD,Divorced,Personal,Yes,No,1
107790,34,33712.56,461.0,98082.15,36,23.71,1,4,33,Mumbai,Student,Bachelors,Divorced,Business,Yes,No,1
111311,23,24881.09,497.0,151934.27,36,25.88,0,2,31,Kolkata,Student,Bachelors,Single,Education,No,No,1
119043,38,31975.83,501.0,293804.56,18,9.92,2,4,6,Mumbai,Student,PhD,Divorced,Business,No,Yes,1
110784,34,49908.68,561.0,5000.0,24,11.78,3,3,33,Bangalore,Unemployed,Bachelors,Divorced,Education,No,No,1
122246,20,61427.73,406.0,270340.91,36,20.37,0,0,25,Mumbai,Salaried,HighSchool,Divorced,Home,No,Yes,1
103268,58,53384.89,484.0,293288.13,18,19.1,2,2,25,Delhi,Unemployed,Bachelors,Single,Home,No,No,1
115947,19,33650.52,379.0,60156.57,36,16.96,0,5,11,Bangalore,Student,PhD,Married,Education,Yes,No,1
114977,62,47715.75,700.0,539798.08,36,23.6,2,1,10,Chennai,Salaried,Diploma,Divorced,Travel,Yes,No,1
114474,57,29987.49,502.0,23858.31,60,9.49,1,5,14,Kolkata,Unemployed,Bachelors,Divorced,Personal,Yes,No,1
128694,37,47924.32,873.0,279498.07,36,21.19,5,3,0,Pune,Student,Masters,Divorced,Medical,Yes,Yes,1
114054,56,51581.08,821.0,5000.0,12,10.86,1,1,3,Delhi,Student,Diploma,Married,Medical,No,No,1
126545,35,73308.02,878.0,259734.78,36,17.34,1,5,9,Chennai,Salaried,Masters,Single,Personal,Yes,Yes,1
114980,35,42778.92,314.0,459712.71,18,27.78,1,1,30,Jaipur,Business,PhD,Married,Education,Yes,No,1
117636,32,74310.53,741.0,208355.76,24,11.61,1,4,21,Delhi,Unemployed,PhD,Married,Travel,Yes,Yes,0
103931,41,53328.74,727.0,350150.93,48,13.13,3,4,14,Kolkata,Freelancer,PhD,Divorced,Education,Yes,Yes,1
108387,56,44369.29,333.0,114690.9,24,17.42,1,3,16,Mumbai,Business,PhD,Single,Business,Yes,Yes,1
108028,62,51319.3,867.0,133029.01,18,20.9,1,2,12,Jaipur,Salaried,Diploma,Single,Education,Yes,Yes,0
109482,42,29665.26,649.0,176904.65,48,14.48,1,1,31,Chennai,Salaried,HighSchool,Divorced,Personal,No,No,1
122572,24,61271.86,554.0,354223.41,6,9.67,1,4,34,Mumbai,Salaried,Masters,Married,Personal,Yes,No,1
115107,40,62982.96,884.0,186269.58,18,13.18,3,4,29,Hyderabad,Unemployed,Bachelors,Married,Travel,Yes,Yes,1
103673,39,43060.67,561.0,67344.6,36,26.99,0,3,18,Mumbai,Salaried,Diploma,Single,Travel,Yes,Yes,1
121388,50,59979.11,593.0,251111.45,36,24.71,1,5,23,Hyderabad,Business,,Single,Home,No,Yes,0
105937,49,47814.07,624.0,203823.94,48,21.81,1,4,8,Chennai,Student,,Divorced,Car,No,Yes,1
127033,23,64863.45,836.0,426426.65,24,12.63,3,1,15,Jaipur,Salaried,Bachelors,Married,Education,Yes,No,1
129271,56,36848.22,503.0,434741.95,48,10.22,4,1,25,Chennai,Salaried,PhD,Divorced,Car,Yes,No,1
121880,45,87664.62,599.0,250937.54,12,20.52,2,4,19,Delhi,Student,PhD,Divorced,Business,No,Yes,1
106508,30,46617.99,831.0,406251.59,18,15.2,0,2,31,Chennai,Unemployed,Masters,Divorced,Personal,No,Yes,1
121457,35,65610.32,578.0,260896.13,6,26.02,1,4,17,Kolkata,Freelancer,PhD,Married,Business,Yes,No,1
120071,26,40969.69,416.0,5000.0,36,11.45,0,3,26,Jaipur,Student,PhD,Single,Home,No,No,0
127012,46,30614.32,367.0,126018.48,24,23.04,0,0,26,Jaipur,Business,Masters,Married,Medical,Yes,Yes,1
110092,28,48652.25,322.0,211211.77,6,16.57,2,1,7,Chennai,,PhD,Divorced,Education,Yes,No,1
122567,43,67672.73,767.0,142230.09,60,13.71,1,2,13,Jaipur,Salaried,PhD,Single,Travel,Yes,Yes,1
112976,63,50265.96,478.0,43994.97,36,25.62,0,3,37,Bangalore,Student,,Divorced,Education,Yes,No,1
103813,25,78665.26,352.0,418528.22,48,14.11,0,0,11,Mumbai,Student,Diploma,Single,Personal,Yes,No,1
107337,20,75623.04,355.0,125976.02,36,26.3,1,4,24,Jaipur,Business,Diploma,Married,Personal,No,No,1
124483,21,67607.15,899.0,5000.0,24,16.75,2,2,5,Chennai,,HighSchool,Married,Travel,Yes,Yes,1
119592,27,25849.31,406.0,52940.5,6,26.76,0,4,10,Pune,Salaried,Diploma,Divorced,Education,Yes,Yes,1
105121,59,95520.72,467.0,242943.09,24,27.72,0,0,30,Chennai,Salaried,Diploma,Single,Personal,Yes,Yes,1
114905,57,87324.91,409.0,77032.96,48,16.35,3,3,28,Chennai,Freelancer,Masters,Divorced,Medical,No,Yes,1
108223,46,42367.4,747.0,214590.67,24,10.71,1,3,5,Mumbai,Salaried,PhD,Single,Business,No,Yes,1
102868,37,40013.34,570.0,363060.52,12,26.59,2,3,29,Kolkata,Salaried,Diploma,Married,Medical,Yes,No,1
102342,58,57885.33,597.0,192230.02,24,25.04,1,0,7,Mumbai,Business,Diploma,Divorced,Car,Yes,No,1
108832,47,30010.96,639.0,53356.18,36,23.35,2,4,26,Pune,Business,HighSchool,Divorced,Business,Yes,No,1
107932,54,54049.1,414.0,254724.0,24,12.92,3,2,3,Hyderabad,Freelancer,Bachelors,Divorced,Car,Yes,No,1
116557,59,101151.98,776.0,5000.0,24,27.79,1,5,32,Bangalore,Student,PhD,Single,Business,Yes,No,0
120604,59,44413.67,330.0,194896.9,48,7.49,3,5,1,Chennai,Salaried,PhD,Divorced,Business,No,No,1
112983,45,,803.0,162320.37,6,14.84,1,4,3,Mumbai,Salaried,Bachelors,Married,Travel,Yes,No,1
